name,avg_g3d_mark,bus_interface,max_memory_size,core_clock,max_direct,open_gl,max_tdp,test_directx_9,test_directx_10,test_directx_11,test_directx_12,test_gpu_compute
radeon rx 6600m,13814,pcie 4.0 x8,8192.0,2068.0,12_2,4.6,100.0,180.0,89.0,135.0,52.0,5752.0
radeont rx 6850m xt,13848,pcie 4.0 x16,12288.0,2321.0,12_2,4.6,165.0,144.0,106.0,166.0,59.0,5210.0
rtx 1000 ada generation,14043,,,,,,,179.0,74.0,115.0,65.0,5471.0
rtx a3000 12gb,14088,,,,,,,169.0,88.0,115.0,65.0,5593.0
geforce rtx 4050,14433,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
radeon igp 34xm,2,,,,,,,,,,,
radeon igp 340m,3,,,,,,,,,,,
radeon igp 345m,3,,,,,,,,,,,
mobility radeon 9200,3,agp 8x,64.0,,8.1,1.4,,,,,,
mobility radeon 9000,3,agp 4x,64.0,250.0,8.1,1.4,,,,,,
geforce4 420 go,3,agp 8x,32.0,200.0,7,1.2,,,,,,
radeon igp 320m,4,,,,,,,,,,,
mobility radeon 7500,4,agp 4x,64.0,280.0,7,1.3,,,,,,
geforce4 440 go,4,agp 8x,64.0,220.0,7,1.2,,,,,,
geforce4 4200 go,4,agp 8x,64.0,200.0,8.1,1.3,,,,,,
geforce2 go,4,agp 4x,32.0,143.0,7,1.2,,,,,,
radeon igp 350m,6,,,,,,,,,,,
geforce fx go 5200,8,agp x8,32.0,300.0,9,1.5,,,,,,
geforce 7000m / nforce 610m,13,,,,,,,,,,,
geforce 7000m,13,hyper transport,256.0,350.0,9.0c,2.1,,,,,,
geforce go 6200,15,pci-e x16,16.0,300.0,9.0c,2.1,,,,,,
geforce fx go 5600,18,agp x8,32.0,350.0,9,1.5,,,,,,
geforce 7150m / nforce 630m,18,,,,,,,,,,,
radeon xpress 200m,23,,,,,,,,,,,
geforce go 6400,24,pci-e x16,16.0,400.0,9.0c,2.1,,,,,,
mobility radeon 9700,27,agp 8x,128.0,450.0,9,2.0,,,,,,
mobility radeon 9550,30,agp 8x,64.0,210.0,9,2.0,,,,,,
mobility radeon x1450,33,pcie x16,128.0,550.0,9.0c,2.0,,,,,,
mobility radeon x300,34,pci-e x16,128.0,350.0,9.0b,2.0,,,,,,
mobility radeon 9600,36,agp 8x,128.0,300.0,9,2.0,,,,,,
mobility radeon 9600/9700,39,agp 8x,128.0,300.0,9,2.0,,,,,,
mobility radeon x1300,40,pcie x16,128.0,350.0,9.0c,2.0,,,,,,
mobility radeon x1350,40,pcie x16,128.0,470.0,9.0c,2.0,,,,,,
radeon xpress 1300m,40,,,,,,,,,,,
mobility radeon x1400,43,pcie x16,128.0,445.0,9.0c,2.0,,,,,,
geforce go 7200,45,pcie x16,64.0,450.0,9.0c,2.1,,,,,,
mobility radeon 9800,46,agp 8x,256.0,350.0,9,2.0,,,,,,
mobility radeon x2300,48,pcie x16,128.0,480.0,9.0c,2.0,,,,,,
mobility radeon x600,50,pci-e x16,128.0,400.0,9.0b,2.0,,,,,,
mobility radeon hd 2300,51,pcie x16,512.0,480.0,9.0c,2.0,,,,,,
geforce go 7300,52,pcie x16,512.0,350.0,9.0c,2.1,,1.0,0.0,0.0,0.0,0.0
geforce 8200m g,58,integrated (pcie 2.0 x16),256.0,400.0,10,3.3,,1.0,1.0,0.0,0.0,0.0
geforce 8400m g,59,pcie x16,128.0,400.0,10,3.3,10.0,,,,,
geforce g 103m,63,pcie 2.0 x16,512.0,640.0,10,3.3,14.0,2.0,0.0,0.0,0.0,0.0
mobility radeon hd 3410,63,pcie x16 1.1,512.0,400.0,10.1,2.0,,,,,,
geforce g 105m,63,pcie 2.0 x16,512.0,640.0,10,3.3,14.0,2.0,0.0,0.0,0.0,0.0
geforce go 7400,66,pcie x16,256.0,450.0,9.0c,2.1,,2.0,0.0,0.0,0.0,0.0
mobility radeon hd 4225,66,internal pcie x16 1.1,512.0,380.0,10.1,2.0,,,,,,
geforce 8400m gt,67,pcie x16,256.0,450.0,10,3.3,14.0,2.0,1.0,0.0,0.0,0.0
mobility radeon x700,67,pci-e x16,128.0,350.0,9.0b,2.0,,,,,,
geforce 9400m g,68,integrated(pcie 2.0 x16),256.0,450.0,10,3.3,12.0,3.0,0.0,0.0,0.0,0.0
geforce 9100m g,68,,,,,,,2.0,1.0,0.0,0.0,0.0
geforce go 6600,69,pci-e x16,128.0,300.0,9.0c,2.1,,,,,,
geforce 8600m gs,70,pcie x16,256.0,600.0,10,3.3,20.0,4.0,0.0,0.0,0.0,0.0
mobility radeon x2500,82,pcie x16,256.0,460.0,9.0c,2.0,,,,,,
geforce 9300m g,85,pcie 2.0 x16,256.0,400.0,10,3.3,13.0,,,,,
mobility radeon hd 2400,90,pcie x16,256.0,450.0,10,2.0,,,,,,
mobility radeon hd 4200,91,internal pcie x16 1.1,512.0,500.0,10.1,2.0,,,,,,
mobility radeon hd 3450,91,pcie x16 2.0,256.0,500.0,10.1,2.0,,,,,,
geforce g205m,92,,,,,,,,,,,
mobility radeon x1600,92,pcie x16,256.0,450.0,9.0c,2.0,,,,,,
mobility radeon hd 4270,93,internal pcie x16 1.1,512.0,590.0,10.1,2.0,,,,,,
mobility radeon hd 3470,93,pcie x16 2.0,256.0,680.0,10.1,2.0,,,,,,
radeon hd 6250,94,unb/mc,,400.0,11,4.4,35.0,3.0,0.0,1.0,0.0,44.0
mobility radeon hd 3430,98,pcie x16 2.0,256.0,450.0,10.1,2.0,,,,,,
mobility radeon hd 4250,98,internal pcie x16 1.1,512.0,500.0,10.1,2.0,,,,,,
geforce 9300m gs,100,pcie 2.0 x16,256.0,550.0,10,3.3,13.0,2.0,2.0,0.0,0.0,0.0
geforce 9400m,101,,,,,,,3.0,2.0,0.0,0.0,0.0
mobility radeon hd 2400 xt,102,pcie x16,256.0,,10,2.0,,,,,,
geforce 9500m,104,,,,,,,,,,,
radeon hd 6290,105,unb/mc,,400.0,11,4.4,45.0,3.0,0.0,1.0,0.0,55.0
mobility radeon x1700,105,pcie x16,256.0,475.0,9.0c,2.0,,,,,,
geforce gt 320m,106,pcie 2.0 x16,1024.0,500.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce9400m,106,,,,,,,,,,,
geforce go 6800,106,pci-e x16,128.0,300.0,9.0c,2.1,,,,,,
geforce 8400m gs,109,pcie x16,128.0,400.0,10,3.3,11.0,1.0,4.0,0.0,0.0,0.0
geforce 8600m gt,113,pcie x16,256.0,475.0,10,3.3,20.0,5.0,0.0,0.0,0.0,0.0
geforce go 7800,115,pcie x16,256.0,400.0,9.0c,2.1,35.0,,,,,
geforce 315m,115,pcie 2.0 x16,512.0,606.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce 310m,116,pcie 2.0 x16,512.0,625.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce g210m,117,pcie 2.0 x16,512.0,625.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce 9500m g,122,pcie 2.0 x16,512.0,500.0,10,3.3,20.0,6.0,0.0,0.0,0.0,0.0
geforce 9200m gs,122,pcie 2.0 x16,256.0,550.0,10,3.3,13.0,2.0,3.0,0.0,0.0,0.0
geforce gt 220m,122,pcie 2.0 x16,1024.0,500.0,10,3.3,14.0,6.0,0.0,0.0,0.0,0.0
radeon hd 6310,122,unb/mc,,492.0,11,4.4,45.0,4.0,0.0,1.0,0.0,69.0
radeon hd 7290m,123,,,,,,,,,,,
geforce 8700m gt,124,pcie x16,256.0,625.0,10,3.3,29.0,7.0,0.0,0.0,0.0,0.0
geforce go 7600,128,pcie x16,512.0,450.0,9.0c,2.1,,,,,,
mobility radeon x1800,130,pcie x16,256.0,450.0,9.0c,2.0,,,,,,
geforce 9600m gs,131,pcie 2.0 x16,1024.0,430.0,10,3.3,20.0,7.0,1.0,0.0,0.0,0.0
geforce 9500m gs,134,pcie x16,512.0,475.0,10,3.3,20.0,5.0,1.0,0.0,0.0,0.0
geforce g105m,134,,,,,,,5.0,1.0,0.0,0.0,0.0
mobility radeon x1900,135,pcie x16,256.0,400.0,9.0c,2.0,,,,,,
mobility radeon hd 4330,135,pcie x16 2.0,512.0,450.0,10.1,3.3,,,,,,
geforce 9650m gt,137,pcie 2.0 x16,1024.0,550.0,10,3.3,23.0,7.0,0.0,0.0,0.0,0.0
geforce go 6800 ultra,138,pci-e x16,256.0,450.0,9.0c,2.1,,,,,,
geforce 9600m gt,140,pcie 2.0 x16,512.0,500.0,10,3.3,23.0,8.0,1.0,0.0,0.0,0.0
mobility radeon hd 3650,140,pcie x16 2.0,1024.0,500.0,10.1,3.3,,5.0,1.0,0.0,0.0,0.0
radeon hd 6290m,140,,,,,,,,,,,
mobility radeon hd 4570,143,pcie x16 2.0,512.0,680.0,10.1,3.3,,5.0,1.0,0.0,0.0,0.0
geforce 9200m ge,144,,,,,,,2.0,4.0,0.0,0.0,0.0
radeon hd 6300m,144,,,,,,,6.0,1.0,2.0,0.0,45.0
geforce gt 130m,146,pcie 2.0 x16,1024.0,600.0,10,3.3,23.0,8.0,1.0,0.0,0.0,0.0
radeon hd 6320,147,unb/mc,,600.0,11,4.4,45.0,4.0,1.0,1.0,0.0,76.0
geforce go 7700,148,pcie x16,512.0,450.0,9.0c,2.1,,,,,,
geforce 305m,151,pcie 2.0 x16,512.0,525.0,10.1,3.3,14.0,6.0,0.0,0.0,0.0,0.0
geforce gt 120m,151,pcie 2.0 x16,1024.0,500.0,10,3.3,23.0,9.0,0.0,0.0,0.0,0.0
radeon hd 7310m,166,,,,,,,,,,,
geforce g102m,168,,,,,,,2.0,4.0,0.0,0.0,0.0
mobility radeon hd 2600,168,pcie x16,256.0,,10,2.0,,,,,,
geforce gt 325m,170,pcie 2.0 x16,1024.0,450.0,10.1,3.3,23.0,7.0,1.0,0.0,0.0,0.0
mobility radeon hd 530v,175,pcie x16 2.0,1024.0,500.0,10.1,3.3,,,,,,
geforce go 7900 gs,176,pcie x16,256.0,375.0,9.0c,2.1,20.0,,,,,
mobility radeon hd 5430,181,pcie x16 2.1,1024.0,,11,4.4,7.0,,,,,
mobility radeon hd 4550,191,pcie x16 2.0,512.0,550.0,10.1,3.3,,,,,,
mobility radeon hd 2600 xt,192,pcie x16,256.0,680.0,10,2.0,,,,,,
radeon hd 6430m,193,pcie 2.1 x16,1024.0,480.0,11,4.4,,,,,,
radeon hd 6320m,198,,,,,,,,,,,
mobility radeon hd 545v,200,pcie x16 2.0,1024.0,720.0,10.1,3.3,,,,,,
radeon hd 6380g,201,unb/mc,,400.0,11,4.4,35.0,5.0,1.0,2.0,0.0,88.0
geforce 9700m gt,209,pcie x16,512.0,625.0,10,3.3,45.0,11.0,1.0,0.0,0.0,0.0
geforce go 7800 gtx,210,pcie x16,256.0,400.0,9.0c,2.1,65.0,,,,,
geforce 320m,210,"integrated,pcie 2.0 x16",256.0,450.0,10.1,3.3,20.0,7.0,1.0,0.0,0.0,0.0
geforce go 7600 gt,210,pcie x16,256.0,500.0,9.0c,2.1,,6.0,0.0,0.0,0.0,0.0
geforce gt 230m,212,pcie 2.0 x16,1024.0,500.0,10.1,3.3,23.0,9.0,1.0,0.0,0.0,0.0
geforce gt 240m,213,pcie 2.0 x16,1024.0,550.0,10.1,3.3,23.0,8.0,1.0,0.0,0.0,0.0
mobility radeon hd 5450,214,pcie x16 2.1,1024.0,675.0,11,4.4,11.0,,,,,
mobility radeon. hd 5470,215,pcie x16 2.1,512.0,750.0,11,4.4,13.0,,,,,
geforce gt 330m,217,pcie 2.0 x16,1024.0,575.0,10.1,3.3,23.0,9.0,1.0,0.0,0.0,0.0
radeon hd 7340m,221,,,,,,,,,,,
radeon hd 6470m,227,pcie 2.1 x16,1024.0,,11,4.4,,7.0,1.0,2.0,0.0,135.0
mobility radeon hd 3670,232,pcie x16 2.0,1024.0,680.0,10.1,2.0,,,,,,
mobility radeon hd 5470,236,pcie x16 2.1,512.0,750.0,11,4.4,13.0,,,,,
radeon hd 7640g + 8600m dual,250,,,,,,,,,,,
radeon hd 6480g,257,unb/mc,,444.0,11,4.4,45.0,6.0,1.0,3.0,0.0,134.0
geforce 410m,258,pcie 2.0 x16,512.0,575.0,11,4.5,12.0,5.0,1.0,2.0,0.0,122.0
geforce go 7950 gtx,264,pcie x16,512.0,575.0,9.0c,2.1,45.0,,,,,
mobility radeon hd 550v,266,pcie x16 2.0,1024.0,450.0,10.1,3.3,,,,,,
geforce 9650m gs,270,pcie 2.0 x16,512.0,625.0,10,3.3,29.0,,,,,
geforce go 7900 gtx,270,pcie x16,256.0,500.0,9.0c,2.1,45.0,,,,,
radeon hd 6370m,276,pcie 2.1 x16,1024.0,750.0,11,4.4,11.0,,,,,
geforce 9700m gts,278,pcie 2.0 x16,512.0,530.0,10,3.3,60.0,11.0,1.0,0.0,0.0,0.0
geforce gt 520mx,283,pcie 2.0 x16,1024.0,900.0,11,4.5,20.0,6.0,3.0,2.0,0.0,86.0
mobility radeon hd 5165,284,pcie x16 2.0,1024.0,600.0,10.1,3.3,35.0,,,,,
geforce gt 520m,286,pcie 2.0 x16,1024.0,740.0,11,4.5,12.0,6.0,2.0,2.0,0.0,93.0
geforce gt 415m,286,pcie 2.0 x16,512.0,500.0,11,4.5,12.0,7.0,1.0,0.0,0.0,0.0
geforce 610m,290,,,,,,,6.0,1.0,3.0,0.0,177.0
geforce 9600m gt / geforce gt 220m,293,,,,,,,,,,,
radeon hd 6520g,300,unb/mc,,400.0,11,4.4,45.0,7.0,1.0,3.0,0.0,156.0
radeon hd 8350g,304,integrated,,514.0,11.0,4.3,35.0,6.0,1.0,0.0,0.0,0.0
radeon hd 7520g + 8600/8700m dual,311,,,,,,,,,,,
mobility radeon hd 560v,318,pcie x16 2.0,1024.0,550.0,10.1,3.3,,,,,,
geforce 240m gt,320,,,,,,,,,,,
radeon hd 7600g + hd 7400m dual,329,,,,,,,,,,,
radeon hd 7450m,330,pcie 2.1 x16,1024.0,,11,4.4,7.0,,,,,
radeon hd 7600g + 8500m/8700m dual,334,,,,,,,6.0,1.0,2.0,0.0,67.0
radeon hd 6620g,341,unb/mc,,444.0,11,4.4,45.0,8.0,1.0,4.0,0.0,184.0
mobility radeon hd 565v,353,pcie x16 2.0,1024.0,675.0,10.1,3.3,,,,,,
radeon hd 6480m,353,,,,,,,,,,,
radeon hd 7500g + hd 7500m/7600m dual,356,,,,,,,,,,,
radeon hd 7660g + hd 8600m dual,364,,,,,,,,,,,
radeon hd 7520g n hd 7520g + hd 7600m n hd 7600m d,365,,,,,,,,,,,
mobility radeon hd 3850,366,pcie x16 2.0,512.0,580.0,10.1,2.0,,,,,,
geforce gt 610m / gt 620m / gt 710m / gt 720m / gt,369,,,,,,,,,,,
geforce 9800m gts,376,pcie 2.0 x16,512.0,600.0,10,3.3,75.0,13.0,1.0,0.0,0.0,0.0
radeon hd 7600g + 6400m dual,377,,,,,,,,,,,
radeon hd 7520g + 8750m dual,377,,,,,,,,,,,
radeon hd 6490m,378,pcie 2.1 x16,512.0,800.0,11,4.4,,,,,,
geforce gtx 260m,379,pcie 2.0 x16,1024.0,550.0,10,3.3,65.0,15.0,1.0,0.0,0.0,0.0
geforce 9800m gt,381,pcie 2.0 x16,512.0,500.0,10,3.3,65.0,18.0,1.0,0.0,0.0,0.0
geforce 8800m gts,382,pcie 2.0 x16,512.0,500.0,10,3.3,50.0,15.0,1.0,0.0,0.0,0.0
geforce gt 335m,382,pcie 2.0 x16,1024.0,450.0,10.1,3.3,28.0,9.0,2.0,0.0,0.0,0.0
radeon hd 7600g + 7450m dual,390,,,,,,,,,,,
geforce gt 420m,396,pcie 2.0 x16,512.0,500.0,11,4.5,23.0,8.0,2.0,3.0,0.0,158.0
mobility radeon hd 4650,401,pcie x16 2.0,1024.0,,10.1,3.3,,,,,,
radeon hd 7600g + 7500m/7600m dual,406,,,,,,,,,,,
radeon hd 7640g + hd 7600m n hd 7600m dual,407,,,,,,,,,,,
geforce 810m,407,,,,,,,6.0,2.0,4.0,2.0,200.0
radeon hd 7470m,408,pcie 2.1 x16,1024.0,,11,4.4,7.0,,,,,
geforce gts 350m,408,pcie 2.0 x16,1024.0,500.0,10.1,3.3,28.0,8.0,2.0,0.0,0.0,0.0
radeon r5 m230,414,pcie 3.0 x8,4096.0,780.0,11.2,4.3,,7.0,1.0,4.0,3.0,322.0
radeon hd 8500m,422,,,,,,,7.0,1.0,4.0,4.0,304.0
radeon hd 7640g n hd 7640g + hd 8570m dual,423,,,,,,,,,,,
radeon hd 7600g + 7550m dual,423,,,,,,,,,,,
radeon hd 7570m,427,pcie 2.1 x16,1024.0,,11,4.4,13.0,10.0,2.0,4.0,0.0,260.0
radeon hd 7650m,437,pcie 2.1 x16,1024.0,,11,4.4,20.0,10.0,2.0,4.0,0.0,278.0
geforce gt 620m,437,pcie 2.0 x16,2048.0,625.0,11.0,4.5,15.0,11.0,2.0,4.0,0.0,262.0
radeon hd 8570m,441,,,,,,,7.0,1.0,4.0,3.0,371.0
geforce gt 710m,442,,,,,,,10.0,2.0,4.0,0.0,313.0
radeon hd 7620g + hd 8600m dual,443,,,,,,,,,,,
radeon hd 7660g + 8600m dual,446,,,,,,,,,,,
radeon hd 7520g + hd 7600m dual,447,,,,,,,8.0,1.0,0.0,0.0,0.0
mobility radeon hd 5650,450,pcie x16 2.1,1024.0,,11,4.4,15.0,10.0,2.0,5.0,0.0,215.0
geforce gt625m,451,,,,,,,8.0,2.0,5.0,0.0,311.0
radeon hd 7620g n hd 7620g + hd 8600m n hd 8600m d,452,,,,,,,,,,,
radeon hd 8450g + hd 8600m dual,452,,,,,,,,,,,
